         5027 function calls (4238 primitive calls) in 0.005 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8009    0.002    0.000    0.002    0.000 number_node.py:20(evaluate)
     4002    0.002    0.000    0.003    0.000 lexer.py:63(get_operators)
     3000    0.001    0.000    0.001    0.000 math42.py:6(addition)
     4012    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     4002    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
     1003    0.000    0.000    0.000    0.000 math42.py:41(multiplication)
        1    0.000    0.000    0.000    0.000 lexer.py:179(_make_function)
      9/1    0.000    0.000    0.000    0.000 copy.py:132(deepcopy)
        1    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       24    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 copy.py:268(_reconstruct)
        1    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 lexer.py:75(_tokenize_sub_text)
        1    0.000    0.000    0.000    0.000 copy.py:236(_deepcopy_dict)
        2    0.000    0.000    0.000    0.000 function_token.py:22(arguments)
        1    0.000    0.000    0.000    0.000 function_node.py:23(evaluate)
        1    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       19    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 math42.py:116(sqrt)
        3    0.000    0.000    0.000    0.000 copy.py:252(_keep_alive)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 math42.py:52(division)
        1    0.000    0.000    0.000    0.000 function_token.py:12(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 lexer.py:164(_make_identifier)
        6    0.000    0.000    0.000    0.000 copy.py:190(_deepcopy_atomic)
        1    0.000    0.000    0.000    0.000 copy.py:210(_deepcopy_list)
        1    0.000    0.000    0.000    0.000 parser.py:46(_get_sub_parser)
        1    0.000    0.000    0.000    0.000 expression.py:19(set_args)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
