         6870 function calls (6051 primitive calls) in 0.006 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5994    0.002    0.000    0.002    0.000 lexer.py:43(add_function)
     1998    0.002    0.000    0.002    0.000 function_token.py:21(arguments)
      999    0.002    0.000    0.007    0.000 parser.py:46(_get_sub_parser)
     5994    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x7f501b4eecc0}
      999    0.002    0.000    0.002    0.000 number_node.py:10(__init__)
     5995    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
 1998/999    0.001    0.000    0.051    0.000 parser.py:125(parse)
     6993    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     5994    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     5994    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      999    0.001    0.000    0.002    0.000 function_node.py:13(__init__)
     3996    0.001    0.000    0.001    0.000 parser.py:43(<lambda>)
     4995    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
     1998    0.001    0.000    0.001    0.000 node.py:9(__init__)
      999    0.001    0.000    0.001    0.000 lexer.py:63(get_operators)
      999    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


